"person" "activities" "mean(tBodyAcc.mean.X)" "mean(tBodyAcc.mean.Y)" "mean(tBodyAcc.mean.Z)" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.meanFreq.."
2 "WALKING_DOWNSTAIRS" 0.27761534806383 -0.0226614158361702 -0.116812942382979 -0.20649916 0.7691518 0.59214322 0.079217587 0.013871292 0.0020966176 -0.027557917 -0.074717452 0.087574809 -0.098663635 -0.040145171 -0.054970621 -0.99758819 -0.99758819 -0.99333114 -0.99661933 -0.99864793 -0.99480416 -0.99380373 -0.99248491 0.14855882 0.38764359 0.47210407 -0.99299983 -0.99288781 -0.99038501 0.26514377 0.18216216 0.31662248 -0.99811521 -0.99633237 -0.99551228 0.4345329 -0.21729452 0.11520351 -0.99629652 0.67084064 -0.99630902 0.25938936 -0.99914259 0.50459204 -0.99859962 0.61415183
2 "WALKING_UPSTAIRS" 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.20702615 0.76962832 0.59219232 0.074492793 0.015421882 0.0049166674 -0.028189688 -0.075922288 0.085242467 -0.098786707 -0.043011336 -0.055590732 -0.99786725 -0.99786725 -0.99407848 -0.99624004 -0.99853912 -0.9951802 -0.99388245 -0.99360666 0.19291577 0.34334786 0.58464903 -0.99308043 -0.9942709 -0.990698 0.2391065 0.062977287 0.26689833 -0.9974977 -0.99584522 -0.99508298 0.33218508 -0.12400623 0.21656869 -0.9981129 0.7652607 -0.9958311 0.43807407 -0.99820311 0.32074197 -0.99848869 0.56468929
3 "LAYING" 0.275516852741935 -0.0189556785048387 -0.101300477506452 -0.20699211 0.76946735 0.59291655 0.072594696 0.010275519 -0.002639534 -0.027948324 -0.075748823 0.086152221 -0.097773433 -0.041491156 -0.054167484 -0.9973188 -0.9973188 -0.99366314 -0.99595283 -0.99840939 -0.99354586 -0.9939895 -0.99425916 0.17455631 0.27468621 0.49133615 -0.99092769 -0.99366968 -0.99164211 0.26298173 0.15103354 0.28121312 -0.99906969 -0.99584 -0.99472143 0.2612734 -0.21471274 0.13887445 -0.99831041 0.80376417 -0.99276118 0.51011698 -0.99768722 0.19189655 -0.99870411 0.72281877
3 "SITTING" 0.257197599134615 -0.00350299841730769 -0.0983579203269231 0.044743889 0.75845367 0.50493607 0.33481779 -0.087342242 -0.24078322 0.20204982 0.040694905 0.73162657 -0.11950341 -0.033136459 -0.081185235 -0.72162699 -0.72162699 -0.9219028 -0.6073844 -0.95018467 -0.66860442 -0.78963798 -0.73499812 -0.3029447 -0.08192021 0.064381548 -0.91582762 -0.85963 -0.91560292 0.015272279 0.39199364 -0.021357176 -0.89235795 -0.91669974 -0.87882562 -0.40627381 -0.0083893961 -0.36391281 -0.47786351 -0.18196765 -0.86488401 0.15819535 -0.87785926 -0.610467 -0.93188247 -0.11864065
3 "STANDING" 0.280046513278689 -0.0143376555065574 -0.101621722633148 -0.047727828 0.76866913 0.54098815 0.071098045 0.026827472 0.040107846 0.1186012 -0.018781307 0.51290211 -0.11843114 -0.038440072 -0.13626567 -0.94290262 -0.94290262 -0.98397266 -0.75196917 -0.98912638 -0.97498679 -0.95410178 -0.97750397 -0.6433783 -0.41931778 0.83538083 -0.98210907 -0.98237072 -0.97633568 0.084542057 -0.0031908549 0.11757263 -0.94716517 -0.97938782 -0.87408467 -0.28489973 -0.1899565 -0.097143842 -0.96740935 -0.59342129 -0.98214074 -0.1213258 -0.90194398 -0.37590958 -0.98755082 0.043873822
3 "WALKING" 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.041699844 0.75554154 0.54742535 -0.043507411 -0.053766392 0.19503419 -0.059379779 0.08809224 0.13125568 -0.04233134 -0.07304167 -0.056678688 -0.51842779 -0.51842779 -0.85561065 -0.59910183 -0.86875596 -0.74175973 -0.37047418 -0.54169783 -0.621766 -0.60129805 -0.47612452 -0.87009876 -0.66911521 -0.81513119 -0.34633774 -0.86852506 -0.55169544 -0.37539089 -0.82273127 -0.62389734 -0.63525595 -0.46446244 -0.6427061 -0.40526174 -0.55561013 -0.72619041 -0.59281703 -0.44981321 -0.65450373 -0.76672615 -0.80068355
3 "WALKING_DOWNSTAIRS" 0.292423484693878 -0.0193554079328571 -0.116139842908163 -0.18770377 0.70262213 0.63722785 0.11314268 0.074806311 -0.10382637 -0.035961192 -0.034605486 0.058812713 -0.096588812 -0.074083925 -0.056614254 -0.36210824 -0.36210824 -0.82366323 -0.54709337 -0.83080792 -0.78254802 -0.35302765 -0.58238308 -0.85555911 -0.62478591 -0.68602377 -0.86668292 -0.65948137 -0.80855043 -0.40218761 -0.87995111 -0.58193048 -0.35137583 -0.80542284 -0.63205493 -0.68458634 -0.54345589 -0.61413546 -0.50202182 -0.69377653 -0.72546081 -0.50332465 -0.45857638 -0.65314986 -0.76196065 -0.69121922
3 "WALKING_UPSTAIRS" 0.260819873067797 -0.0324109410555932 -0.110064863437288 -0.35145953 0.65518574 0.73110976 0.20887536 0.11372797 -0.22303817 0.082133212 -0.24323522 0.21592953 -0.19508446 -0.0046289995 -0.12899286 -0.67636425 -0.67636425 -0.94306581 -0.80157467 -0.94608038 -0.82682765 -0.80454766 -0.71690557 -0.32954732 -0.32891804 -0.094863916 -0.96309193 -0.91342804 -0.94547883 0.018574341 -0.47769962 -0.18934396 -0.77139478 -0.93047351 -0.90206889 -0.19115136 -0.14278765 0.43721729 -0.79232273 0.013747097 -0.9445135 0.25179871 -0.80248618 -0.20490831 -0.93403494 -0.35071995
4 "LAYING" 0.263559214981481 -0.0150031841055556 -0.110688150314815 -0.33939193 0.6970974 0.70209116 -0.048777316 0.14548517 0.10475315 -0.036936103 -0.057546422 -0.052175402 -0.79429092 0.069186911 -0.21966787 -0.63496006 -0.63496006 -0.85112159 -0.71573909 -0.87102635 -0.77764042 -0.65641474 -0.74389472 -0.44277372 0.027422686 -0.21558053 -0.84128694 -0.77748827 -0.86899322 0.12818532 -0.19254211 -0.41708085 -0.35965028 -0.79638339 -0.6394989 0.64780288 -0.1516836 -0.16621416 -0.71639747 -0.10590565 -0.83435446 -0.23928235 -0.41740016 0.31188273 -0.73301366 -0.28168415
4 "SITTING" 0.27153827992 -0.007163065158 -0.10587459588 -0.36048 0.71643717 0.6629796 0.020624221 -0.26870572 0.23693914 -0.23782482 0.0013208186 -0.098544364 -0.26163473 -0.11985833 -0.012435592 -0.062945893 -0.062945893 -0.56428225 -0.40112981 -0.67562773 -0.62167946 0.26319965 -0.25634415 -0.35748385 -0.35022485 -0.33530726 -0.63698626 -0.21058319 -0.57076123 -0.08993761 -0.2454903 -0.29874883 0.0057825797 -0.66275526 -0.53699297 -0.53933004 -0.051106787 -0.35401397 -0.091821255 -0.45908559 -0.35848249 0.15463256 -0.10202009 -0.56646563 -0.60822781 -0.52517002
4 "STANDING" 0.280499745892857 -0.00948911098553571 -0.0961574905535714 -0.57349604 0.52510468 0.77976328 0.17061123 -0.3848919 -0.028640525 -0.22981397 -0.084139792 0.12658478 0.60049262 -0.14450577 0.10627918 0.29483896 0.29483896 -0.62540929 -0.48420622 -0.75023599 -0.60838922 0.029028661 -0.31756454 -0.48112763 0.055190131 -0.44797549 -0.65892981 -0.24437788 -0.5777608 -0.068720793 -0.24344676 -0.26722372 0.20023571 -0.68059349 -0.64274198 0.036605456 0.010096269 0.26133704 -0.220785 -0.44328399 -0.33175609 0.087846855 0.10504627 -0.19232946 -0.61261081 -0.53386713
4 "WALKING" 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.74182101 0.16014065 0.94954331 0.11161264 0.3056408 -0.22123434 0.049928814 -0.11530276 0.19568759 0.11264077 0.02773879 -0.064159118 -0.33101576 -0.33101576 -0.92047767 -0.73358055 -0.95082172 -0.90611827 -0.38761604 -0.72773664 -0.23706382 -0.5206587 -0.037411443 -0.90822047 -0.8793609 -0.89344593 -0.28316786 -0.35302118 0.075588089 -0.64389389 -0.86035895 -0.89368601 0.0087697145 -0.28328349 -0.55624352 -0.49856777 -0.65511382 -0.87188606 -0.19452701 -0.76682956 -0.10722121 -0.91304149 -0.26956499
4 "WALKING_DOWNSTAIRS" 0.279965329555556 -0.00980200850666667 -0.1067775246 -0.75672502 -0.05899586 0.9993499 0.06719499 0.22425664 -0.00032738316 0.16127991 -0.13043859 0.21213106 -0.11341681 -0.029336611 -0.066985016 -0.84935162 -0.84935162 -0.97568945 -0.79201016 -0.98514778 -0.97590839 -0.68463497 -0.9819809 -0.16352692 -0.10549693 -0.092662135 -0.97465148 -0.96828834 -0.98784889 0.25591129 -0.55321676 0.14471338 -0.95500016 -0.97999511 -0.97315134 -0.36665944 0.27514854 -0.26542678 -0.78142895 -0.17072521 -0.97823155 0.41045514 -0.95044369 -0.4527781 -0.98525063 0.29277782
4 "WALKING_UPSTAIRS" 0.270876696730769 -0.0319804295729615 -0.114219455519231 -0.75607738 -0.068420491 0.99429673 0.077417432 -0.037359808 0.0074256146 0.086572053 -0.10767743 0.15907433 -0.13014634 -0.036068798 -0.069935123 -0.95078066 -0.95078066 -0.98420696 -0.87634272 -0.9900837 -0.98176325 -0.93234665 -0.98938688 0.12061108 -0.14573292 0.1342224 -0.97598056 -0.97793988 -0.99128063 0.27928825 0.0011729757 -0.021002482 -0.94593892 -0.98624614 -0.97448174 -0.015075881 0.31906184 -0.14429261 -0.94537225 -0.28774651 -0.98065971 0.29147682 -0.9424823 -0.22290912 -0.98690955 0.24773293
5 "LAYING" 0.278334325576923 -0.0183042123269231 -0.107937603673077 -0.75875146 -0.045998244 0.9957729 0.080899203 -0.00041533963 -0.017179454 0.018982197 -0.088940444 0.11034306 -0.12062556 -0.035133122 -0.064724956 -0.98981335 -0.98981335 -0.99420976 -0.95121536 -0.99619712 -0.99356756 -0.98321534 -0.99346289 0.09589006 0.035107332 0.48451086 -0.99267002 -0.98906796 -0.99440684 0.23098237 0.23852467 0.087364709 -0.96457419 -0.99383036 -0.98426332 -0.0091311953 0.031022827 -0.10442523 -0.99186108 0.10835916 -0.99656785 0.69568998 -0.96361471 -0.19513653 -0.99691603 0.22951596
5 "SITTING" 0.273694139545455 -0.00990083527045455 -0.108540300265909 -0.75643925 -0.040042686 0.99732192 0.067279115 0.0083881751 0.00059152697 -0.022319625 -0.073791881 0.081217964 -0.11018738 -0.038877206 -0.060758143 -0.99056014 -0.99056014 -0.99250833 -0.98737097 -0.99612359 -0.99230658 -0.98817303 -0.9939374 0.2193379 -0.016730184 0.60904899 -0.99132506 -0.99219263 -0.99003854 0.14004241 0.11175725 0.31428141 -0.97878881 -0.994053 -0.99172103 -0.10142721 0.1601512 0.12136102 -0.99330024 0.22413213 -0.99527734 0.42434458 -0.98660836 -0.17591043 -0.99644444 0.35580339
5 "STANDING" 0.282544390892857 -0.00700418554517857 -0.102171095696429 -0.75507694 -0.034589346 0.99683535 0.071901676 0.01871745 0.0076429677 -0.033496634 -0.06870624 0.076413374 -0.10087654 -0.036907457 -0.050117834 -0.9923007 -0.9923007 -0.99000829 -0.99204765 -0.99653651 -0.99141608 -0.98845507 -0.9933639 0.1830802 0.26947844 0.54253605 -0.98867465 -0.98980859 -0.99029168 0.21105162 0.089327877 0.24773636 -0.99195184 -0.99648298 -0.99483133 -0.13618871 0.44459077 0.10243786 -0.99445429 0.5367612 -0.99391936 0.44982668 -0.9952448 0.038252729 -0.99665054 0.42547292
5 "WALKING" 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.10308768 0.80189333 0.50251109 0.078928669 -0.0033063617 0.056412244 0.076950625 -0.11839756 0.60210452 -0.094325753 -0.04935098 -0.15991264 -0.91435757 -0.91435757 -0.97559993 -0.74008217 -0.98435199 -0.96977197 -0.94839291 -0.93709518 -0.44206327 -0.012803955 -0.043084566 -0.97392349 -0.96163477 -0.97744436 0.054945904 -0.43748979 -0.17764357 -0.96442262 -0.97036652 -0.83625993 -0.49903092 -0.053494637 -0.036048381 -0.9381927 -0.16407628 -0.96578938 0.23603879 -0.89150944 -0.29077518 -0.97572715 -0.16307309
5 "WALKING_DOWNSTAIRS" 0.29354392712766 -0.00850107533191489 -0.100319930659574 -0.06299006 0.80003329 0.49135427 0.05624832 0.024405517 -0.010360284 0.02922033 -0.09832496 0.29576086 -0.11950542 -0.029390153 -0.13280273 -0.97177708 -0.97177708 -0.9933907 -0.88895775 -0.99491221 -0.97369917 -0.98281659 -0.9850221 -0.47197044 -0.03832494 -0.16446954 -0.99103507 -0.99190579 -0.99339722 0.1668436 -0.027567613 -0.08326383 -0.96688523 -0.98450939 -0.87958691 -0.035309691 0.002479401 -0.023046258 -0.96679275 -0.35878542 -0.99684008 0.45739855 -0.91236404 -0.21740039 -0.99229294 0.21888857
5 "WALKING_UPSTAIRS" 0.268459469914894 -0.0325269755153191 -0.107471453914894 -0.048389323 0.79567669 0.49463892 0.076606392 0.016867057 -0.00651891 -0.0098671423 -0.080393097 0.12236908 -0.11185795 -0.039223434 -0.086828001 -0.99803183 -0.99803183 -0.99367351 -0.96921163 -0.99703272 -0.99409283 -0.99195792 -0.99478596 0.076825204 0.48450798 0.2527667 -0.99188773 -0.99052993 -0.99338001 0.35550526 0.08901669 0.2320654 -0.98068335 -0.99330336 -0.95154285 -0.026519856 -0.10039986 -0.15691473 -0.9948453 0.60984785 -0.99533712 0.40191177 -0.97455817 -0.25485495 -0.99706633 0.48051515
6 "LAYING" 0.248656520140351 -0.0102529170561404 -0.133119570368421 -0.047927566 0.79574623 0.49388979 0.075149798 0.0084224317 -0.0031947691 -0.028953565 -0.079070138 0.051641053 -0.10416896 -0.039101627 -0.070202061 -0.99702358 -0.99702358 -0.99125355 -0.98337626 -0.99720602 -0.99279872 -0.99144214 -0.99431981 0.083720281 0.50662513 0.35177266 -0.99032381 -0.98856648 -0.99321318 0.30441523 0.18885518 0.14816798 -0.99401115 -0.99384478 -0.98508248 0.083397295 -0.068002286 0.1790837 -0.9936187 0.6627613 -0.99431334 0.54168507 -0.99481262 -0.18815277 -0.99732972 0.62588971
6 "SITTING" 0.276778487454545 -0.0145911615290909 -0.110127728709091 -0.046712688 0.7954083 0.49292579 0.069330297 0.0064425616 0.006819108 -0.034132905 -0.070109939 0.043769165 -0.099165346 -0.038792238 -0.050929454 -0.99655566 -0.99655566 -0.99235113 -0.98188004 -0.99797179 -0.99287173 -0.99225653 -0.99203923 0.26840234 0.58781913 0.39309596 -0.99169545 -0.99057131 -0.99242045 0.27398736 0.24203804 0.064367392 -0.99905902 -0.99465565 -0.99384177 0.26257418 -0.090285163 0.1632048 -0.9956167 0.62091405 -0.99467829 0.50686013 -0.99582442 -0.094228668 -0.99815767 0.548715
6 "STANDING" 0.280346248596491 -0.0181236327175439 -0.112172831947368 -0.04661734 0.79482223 0.49227442 0.078244973 0.014062733 -0.0023610793 -0.033728883 -0.076218051 0.05467348 -0.097980207 -0.044841053 -0.047110126 -0.99781183 -0.99781183 -0.99540573 -0.98638745 -0.99765311 -0.9959341 -0.99576167 -0.99313097 -0.093938229 0.48439687 0.22609106 -0.99579185 -0.99466214 -0.9928296 0.20267339 0.1596161 0.022946196 -0.9986923 -0.99407229 -0.99460243 0.25781184 0.062783992 0.62537793 -0.99820593 0.56598877 -0.99697107 0.6505364 -0.99700662 0.23950066 -0.99827046 0.49526224
6 "WALKING" 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.046186846 0.7945045 0.49275908 0.076726948 0.007376412 -0.0021763452 -0.03101367 -0.073677781 0.070006488 -0.095267111 -0.038372991 -0.050581591 -0.99762628 -0.99762628 -0.99405126 -0.99008358 -0.99713962 -0.99474435 -0.99464912 -0.99374694 0.0020994863 0.29632704 0.44931889 -0.99336891 -0.9933464 -0.99129884 0.22973249 0.14011576 0.12831602 -0.99749674 -0.99403296 -0.99175257 0.31149996 -0.12822413 -0.036947511 -0.99656067 0.42703362 -0.99340751 0.40441051 -0.99560529 0.10492972 -0.9976719 0.49006737
6 "WALKING_DOWNSTAIRS" 0.277045258145833 -0.019536840063125 -0.107209356208333 -0.045756393 0.79494079 0.49317659 0.075047091 0.010463193 -0.0063835674 -0.02881738 -0.069163222 0.083508318 -0.096617612 -0.039660184 -0.054093616 -0.99708723 -0.99708723 -0.9916359 -0.99478454 -0.99803998 -0.99556574 -0.99022725 -0.99193986 0.2527228 0.33113555 0.43148594 -0.99266448 -0.98897043 -0.98969066 0.43980909 0.1359525 0.13547875 -0.99908032 -0.99482876 -0.99525433 0.64606762 -0.30089058 0.28760202 -0.99445588 0.60876526 -0.98999993 0.30599039 -0.99626225 0.15094594 -0.99824912 0.43113307
6 "WALKING_UPSTAIRS" 0.268229355098039 -0.0272425385070588 -0.122082438784314 -0.046239328 0.79503831 0.49301931 0.077475065 0.013600217 0.00072851413 -0.027804399 -0.073385188 0.086569695 -0.098858401 -0.041406991 -0.055805203 -0.99737407 -0.99737407 -0.99322192 -0.9946664 -0.99774266 -0.99437732 -0.98893493 -0.99613404 0.11636087 0.45628809 0.44992174 -0.99250806 -0.98743268 -0.99419387 0.18242196 0.22007338 0.37648924 -0.99854875 -0.99438093 -0.99397212 0.47171277 -0.2231769 0.25540742 -0.99712174 0.69809094 -0.99365839 0.30544397 -0.99585453 0.1959226 -0.99760071 0.1450257
7 "LAYING" 0.250176694038462 -0.0204411516884615 -0.101361036576923 -0.046220173 0.79462305 0.49294839 0.079472847 0.0049872453 0.012061801 -0.027660365 -0.072072284 0.087318167 -0.098306436 -0.041274135 -0.052677652 -0.99798029 -0.99798029 -0.99445258 -0.99503015 -0.9974564 -0.99372416 -0.99120974 -0.99753879 0.060660141 0.3507259 0.41994743 -0.99165271 -0.99139489 -0.99675655 0.24645785 -0.091544288 0.068068392 -0.99860477 -0.99412665 -0.99456803 0.37834759 -0.15601073 0.25929137 -0.99856976 0.6399188 -0.99690556 0.62319931 -0.99585406 0.24306988 -0.99712161 0.25136261
